#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1064,Eric Pardinho,672078,672078,sa968102,10192,*04ecd*,TOR,RP,RP,Pardinho,Eric,Pardinho,Eric,
1065,Patrick Bailey,672275,672275,27478,11102,*04yuu*,SF,C,C,Bailey,Patrick,Bailey,Patrick,Patrick Bailey
1066,Michael Siani,672279,672279,22557,10292,*04pqb*,STL,OF,OF,Siani,Michael,Siani,Michael,Michael Siani
1067,Reid Detmers,672282,672282,27468,10915,*0596g*,LAA,RP,RP,Detmers,Reid,Detmers,Reid,Reid Detmers
1068,Jarred Kelenic,672284,672284,22558,10230,*04ggr*,ATL,OF,OF,Kelenic,Jarred,,,
1069,Gabriel Arias,672356,672356,22563,10200,*0414h*,CLE,2B/SS/ 3B,2B/SS/ 3B,Arias,Gabriel,Arias,Gabriel,Gabriel Arias
1070,Tirso Ornelas,672359,672359,22566,10343,*04aov*,SD,OF,OF,Ornelas,Tirso,Ornelas,Tirso,Tirso Ornelas
1071,Agustin Ruiz,672361,672361,sa3004149,10563,*04c0v*,MIN,OF,OF,Ruiz,Agustin,,,
1072,Alejandro Kirk,672386,672386,22581,10851,*04t3y*,TOR,C,C,Kirk,Alejandro,Kirk,Alejandro,Alejandro Kirk
1073,Kaleb Ort,672391,672391,20061,11286,*05rfn*,HOU,RP,RP,Ort,Kaleb,Ort,Kaleb,Kaleb Ort
1074,Keider Montero,672456,672456,22630,11961,*05a1v*,DET,SP,SP,Montero,Keider,Montero,Keider,Keider Montero
1075,Jordan Diaz,672478,672478,22650,11340,*04yub*,ATH,3B,3B,Diaz,Jordan,Diaz,Jordan,Jordan Diaz
1076,Helcris Olivarez,672487,672487,sa3002965,11083,*04yjb*,SF,RP,RP,Olivarez,Helcris,Olivarez,Helcris,Helcris Olivarez
1077,Gabriel Moreno,672515,672515,22664,11117,*04s1g*,ARI,C,C,Moreno,Gabriel,Moreno,Gabriel,Gabriel Moreno
1078,Jhon Torres,672536,672536,,10240,*04tpy*,STL,OF,OF,Torres,Jhon,Torres,Jhon,
1079,Gustavo Campero,672569,672569,22707,12185,*06dpu*,LAA,OF,OF,Campero,Gustavo,Campero,Gustavo,Gustavo Campero
1080,Carlos Hernandez,672578,672578,22713,10156,*04n0k*,CLE,RP,RP,Hernandez,Carlos,Hernández,Carlos,Carlos Hernández
1081,Maikel Garcia,672580,672580,22715,11387,*05g3x*,KC,2B/SS/ 3B,2B/SS/ 3B,Garcia,Maikel,Garcia,Maikel,Maikel Garcia
1082,Angel Zerpa,672582,672582,22717,11172,*05qzx*,KC,RP,RP,Zerpa,Angel,Zerpa,Angel,Angel Zerpa
1083,Gerardo Carrillo,672629,672629,sa3002790,11054,*04qnh*,TEX,RP,RP,Carrillo,Gerardo,Carrillo,Gerardo,
1084,Otto Lopez,672640,672640,19608,10422,*04tjl*,MIA,2B/SS,2B/SS,Lopez,Otto,Lopez,Otto,Otto Lopez
1085,Steward Berroa,672642,672642,22766,12113,*04yew*,MIL,OF,OF,Berroa,Steward,Berroa,Steward,Steward Berroa
1086,Geraldo Perdomo,672695,672695,22799,10397,*04pbq*,ARI,SS,SS,Perdomo,Geraldo,Perdomo,Geraldo,Geraldo Perdomo
1087,Roansy Contreras,672710,672710,22810,10426,*04b3a*,COL,RP,RP,Contreras,Roansy,Contreras,Roansy,Roansy Contreras
1088,Oswald Peraza,672724,672724,22823,11156,*04g7n*,LAA,1B/2B/ SS/3B,1B/2B/ SS/3B,Peraza,Oswald,Peraza,Oswald,Oswald Peraza
1089,Juan Then,672730,672730,22828,10876,*04hy7*,CHW,RP,RP,Then,Juan,Then,Juan,Juan Then
1090,Alexander Canario,672744,672744,22842,10129,*04hi6*,PIT,OF,OF,Canario,Alexander,Canario,Alexander,Alexander Canario
1091,Wenceel Perez,672761,672761,22857,10434,*04an8*,DET,OF,OF,Perez,Wenceel,Pérez,Wenceel,Wenceel Pérez
1092,Tucupita Marcano,672779,672779,22871,10430,*04t41*,SD,2B,2B,Marcano,Tucupita,,,
1093,Yoendrys Gomez,672782,672782,22872,11157,*04xne*,CHW,SP,SP,Gomez,Yoendrys,Gómez,Yoendrys,Yoendrys Gómez
1094,Jairo Solis,672810,672810,sa3003037,11167,*04k5y*,HOU,SP,SP,Solis,Jairo,Solis,Jairo,Jairo Solis
1095,Lenyn Sosa,672820,672820,22896,11501,*04llv*,CHW,1B/2B/ 3B,1B/2B/ 3B,Sosa,Lenyn,Sosa,Lenyn,Lenyn Sosa
1096,Israel Pineda,672832,672832,22906,11568,*04b3d*,WSH,C,C,Pineda,Israel,Pineda,Israel,Israel Pineda
1097,Francisco Morales,672839,672839,22913,10198,*0436o*,ARI,RP,RP,Morales,Francisco,Morales,Francisco,Francisco Morales
1098,Carlos Vargas,672841,672841,22915,10158,*04rhl*,SEA,RP,RP,Vargas,Carlos,Vargas,Carlos,Carlos Vargas
1099,Joan Adon,672851,672851,22925,10968,*04ywo*,WSH,RP,RP,Adon,Joan,Adon,Joan,Joan Adon
1100,Prelander Berroa,672860,672860,22932,11635,*0509b*,CHW,RP,RP,Berroa,Prelander,Berroa,Prelander,Prelander Berroa
1101,Yainer Diaz,673237,673237,23003,11559,*0524l*,HOU,C,C/1B,Diaz,Yainer,Diaz,Yainer,Yainer Diaz
1102,Luis Robert Jr.,673357,673357,20043,9958,*047l7*,CHW,OF,OF,Robert Jr.,Luis,Robert Jr.,Luis,Luis Robert Jr.
1103,Dedniel Nunez,673380,673380,23055,11195,*050vo*,NYM,RP,RP,Nunez,Dedniel,Núñez,Dedniel,Dedniel Núñez
1104,Ha-Seong Kim,673490,673490,27506,11147,*05ajg*,ATL,SS,SS,Kim,Ha-Seong,Kim,Ha-Seong,Ha-Seong Kim
1105,Yuki Matsui,673513,673513,33826,11928,*0689r*,SD,RP,RP,Matsui,Yuki,Matsui,Yuki,Yuki Matsui
1106,Kodai Senga,673540,673540,31838,11182,*04a2t*,NYM,SP,SP,Senga,Kodai,Senga,Kodai,Kodai Senga
1107,Seiya Suzuki,673548,673548,30116,11305,*04b02*,CHC,OF,OF,Suzuki,Seiya,Suzuki,Seiya,Seiya Suzuki
1108,Jordan Leasure,673929,673929,29950,12028,*0614c*,CHW,RP,RP,Leasure,Jordan,Leasure,Jordan,Jordan Leasure
1109,Josh Jung,673962,673962,26299,10980,*04y44*,TEX,3B,3B,Jung,Josh,Jung,Josh,Josh Jung
1110,Davis Wendzel,673995,673995,26469,12075,*0511s*,CIN,SS,SS,Wendzel,Davis,Wendzel,Davis,Davis Wendzel
1111,Cody Bradford,674003,674003,27597,11792,*0514o*,TEX,SP,SP,Bradford,Cody,Bradford,Cody,Cody Bradford
1112,Tommy Henry,674072,674072,26285,11030,*0512a*,ARI,RP,RP,Henry,Tommy,Henry,Tommy,Tommy Henry
1113,Eduardo Salazar,674285,674285,23135,11795,*05rlb*,WSH,RP,RP,Salazar,Eduardo,Salazar,Eduardo,Eduardo Salazar
1114,Osvaldo Bido,674370,674370,23150,11808,*06ala*,ATH,SP,SP,Bido,Osvaldo,Bido,Osvaldo,Osvaldo Bido
1115,Jacob Hurtubise,674441,674441,27599,11917,*05r9h*,SEA,OF,OF,Hurtubise,Jacob,Hurtubise,Jacob,Jacob Hurtubise
1116,Steven Cruz,674444,674444,23165,11852,*05tjx*,KC,RP,RP,Cruz,Steven,Cruz,Steven,Steven Cruz
1117,Michael Plassmeyer,674681,674681,23191,11545,*04pqg*,TEX,SP,SP,Plassmeyer,Michael,Plassmeyer,Michael,Michael Plassmeyer
1118,Andrew Alvarez,674841,674841,29914,12454,*060u3*,WSH,SP,SP,Alvarez,Andrew,Alvarez,Andrew,Andrew Alvarez
1119,Sean Guenther,674944,674944,20045,11251,*04ei8*,DET,RP,RP,Guenther,Sean,Guenther,Sean,Sean Guenther
1120,Troy Melton,675512,675512,31807,12430,*05uc4*,DET,SP,SP,Melton,Troy,Melton,Troy,Troy Melton
1121,Xzavion Curry,675540,675540,25595,11537,*0515h*,COL,RP,RP,Curry,Xzavion,Curry,Xzavion,Xzavion Curry
1122,Michael Grove,675627,675627,23221,11055,*04pmk*,LAD,RP,RP,Grove,Michael,Grove,Michael,Michael Grove
1123,Austin Beck,675648,675648,,10139,*04c8r*,LAD,OF,OF,Beck,Austin,Beck,Austin,
1124,Michael Mercado,675650,675650,23223,11962,*04eeq*,PHI,RP,RP,Mercado,Michael,Mercado,Michael,Michael Mercado
1125,Greg Jones,675659,675659,25448,11692,*04gdz*,HOU,SS,SS,Jones,Greg,Jones,Greg,Greg Jones
1126,Spencer Strider,675911,675911,27498,11300,*05mre*,ATL,SP,SP,Strider,Spencer,Strider,Spencer,Spencer Strider
1127,David Banuelos,675915,675915,23250,12079,*04eh1*,BAL,C,C,Banuelos,David,,,
1128,James Karinchak,675916,675916,20151,10700,*04ejp*,CHW,RP,RP,Karinchak,James,Karinchak,James,James Karinchak
1129,Alika Williams,675961,675961,27604,11833,*05gs3*,PIT,SS,SS,Williams,Alika,Williams,Alika,Alika Williams
1130,Canaan Smith-Njigba,675986,675986,23264,11376,*04egd*,CHW,OF,OF,Smith-Njigba,Canaan,Smith-Njigba,Canaan,Canaan Smith-Njigba
1131,Cody Bolton,675989,675989,23265,10908,*04ehs*,HOU,RP,RP,Bolton,Cody,Bolton,Cody,Cody Bolton
1132,Bob Seymour,676044,676044,30028,12442,*05jrw*,TB,1B,1B,Seymour,Bob,Seymour,Bob,Bob Seymour
1133,Griff McGarry,676046,676046,sa3017130,11620,*05uni*,PHI,RP,RP,McGarry,Griff,McGarry,Griff,
1134,Packy Naughton,676050,676050,23292,11256,*04ejl*,STL,RP,RP,Naughton,Packy,Naughton,Packy,Packy Naughton
1135,Jordan Westburg,676059,676059,27815,11610,*05gsc*,BAL,2B/3B,2B/3B,Westburg,Jordan,Westburg,Jordan,Jordan Westburg
1136,Jacob Amaya,676070,676070,23296,10398,*04elh*,CHW,SS,SS,Amaya,Jacob,,,
1137,Janson Junk,676083,676083,23301,11280,*04etg*,MIA,SP,SP,Junk,Janson,Junk,Janson,Janson Junk
1138,Collin Snider,676092,676092,23307,11389,*05y18*,SEA,RP,RP,Snider,Collin,Snider,Collin,Collin Snider
1139,Jeff Criswell,676105,676105,27608,12162,*05gx2*,COL,RP,RP,Criswell,Jeff,Criswell,Jeff,Jeff Criswell
1140,Emerson Hancock,676106,676106,27470,10873,*0510l*,SEA,SP,SP,Hancock,Emerson,Hancock,Emerson,Emerson Hancock
1141,Zach DeLoach,676113,676113,27471,10870,*05gs6*,CHW,OF,OF,DeLoach,Zach,DeLoach,Zach,Zach DeLoach
1142,Ryan Noda,676116,676116,23312,10322,*04enw*,BAL,OF,OF,Noda,Ryan,Noda,Ryan,Ryan Noda
1143,Jose Butto,676130,676130,23313,11400,*05oz7*,SF,RP,RP,Butto,Jose,Buttó,José,José Buttó
1144,Freddy Tarnok,676206,676206,23324,11335,*04efr*,MIA,RP,RP,Tarnok,Freddy,Tarnok,Freddy,Freddy Tarnok
1145,Seth Elledge,676220,676220,19766,10888,,ATH,RP,RP,Elledge,Seth,Elledge,Seth,Seth Elledge
1146,Ryan Walker,676254,676254,20423,11794,*066n3*,SF,RP,RP,Walker,Ryan,Walker,Ryan,Ryan Walker
1147,Jack Dreyer,676263,676263,30249,12296,*06luc*,LAD,RP,RP,Dreyer,Jack,Dreyer,Jack,Jack Dreyer
1148,Cory Abbott,676265,676265,20277,10790,,TEX,RP,RP,Abbott,Cory,Abbott,Cory,Cory Abbott
1149,Bobby Miller,676272,676272,27483,11073,*05gwz*,LAD,SP,SP,Miller,Bobby,Miller,Bobby,Bobby Miller
1150,Joey Cantillo,676282,676282,23335,10401,*04eos*,CLE,SP,SP,Cantillo,Joey,Cantillo,Joey,Joey Cantillo
1151,Jonny DeLuca,676356,676356,26365,11681,*04y94*,TB,OF,OF,DeLuca,Jonny,DeLuca,Jonny,Jonny DeLuca
1152,Nelson Velazquez,676369,676369,23359,11323,*04eh9*,PIT,OF,OF,Velazquez,Nelson,,,
1153,Ernie Clement,676391,676391,20352,10925,*04alp*,TOR,1B/2B/ SS/3B,1B/2B/ SS/3B,Clement,Ernie,Clement,Ernie,Ernie Clement
1154,Robert Garcia,676395,676395,23363,11823,*04enz*,TEX,RP,RP,Garcia,Robert,Garcia,Robert,Robert Garcia
1155,Brant Hurter,676428,676428,30133,12141,*05u6p*,DET,RP,RP,Hurter,Brant,Hurter,Brant,Brant Hurter
1156,Hunter Feduccia,676439,676439,23372,11779,*04pwl*,TB,C,C,Feduccia,Hunter,Feduccia,Hunter,Hunter Feduccia
1157,Tanner Bibee,676440,676440,30134,11595,*05y23*,CLE,SP,SP,Bibee,Tanner,Bibee,Tanner,Tanner Bibee
1158,Jack Winkler,676466,676466,29830,12402,*05yhw*,MIA,SS,SS,Winkler,Jack,Winkler,Jack,Jack Winkler
1159,Colton Gordon,676467,676467,31312,12069,*05yfi*,HOU,SP,SP,Gordon,Colton,Gordon,Colton,Colton Gordon
1160,Alec Burleson,676475,676475,27615,11421,*05jr0*,STL,1B/OF,1B/OF,Burleson,Alec,Burleson,Alec,Alec Burleson
1161,Garrett Whitlock,676477,676477,20191,11190,*04eqa*,BOS,RP,RP,Whitlock,Garrett,Whitlock,Garrett,Garrett Whitlock
1162,Jose Barrero,676480,676480,23378,10825,*04dwv*,BAL,SS,SS/OF,Barrero,Jose,Barrero,Jose,Jose Barrero
1163,Ben Casparius,676508,676508,30085,12159,*05y4k*,LAD,SP,SP,Casparius,Ben,Casparius,Ben,Ben Casparius
1164,Nolan Hoffman,676510,676510,23381,11775,,PHI,SP,SP,Hoffman,Nolan,Hoffman,Nolan,Nolan Hoffman
1165,Calvin Faucher,676534,676534,20116,11395,*04ekf*,MIA,RP,RP,Faucher,Calvin,Faucher,Calvin,Calvin Faucher
1166,Brewer Hicklen,676551,676551,20450,11477,*04eii*,PHI,OF,OF,Hicklen,Brewer,Hicklen,Brewer,Brewer Hicklen
1167,Ricky Vanasco,676568,676568,23391,11372,*04eoi*,DET,RP,RP,Vanasco,Ricky,Vanasco,Ricky,Ricky Vanasco
1168,Eric Wagaman,676572,676572,23395,12181,*04emu*,MIA,1B/3B/ OF,1B/3B/ OF,Wagaman,Eric,Wagaman,Eric,Eric Wagaman
1169,Josh Fleming,676596,676596,20418,10958,*04egq*,SEA,RP,RP,Fleming,Josh,Fleming,Josh,Josh Fleming
1170,Tyler Zuber,676604,676604,20379,10936,*04ehi*,MIA,RP,RP,Zuber,Tyler,Zuber,Tyler,Tyler Zuber
1171,Jose Caballero,676609,676609,23401,11786,*04eig*,NYY,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Caballero,Jose,Caballero,José,José Caballero
1172,Riley O’Brien,676617,676617,20348,11162,*04ej3*,STL,RP,RP,O’Brien,Riley,O’Brien,Riley,Riley O’Brien
1173,Tyreque Reed,676627,676627,sa3004163,10433,*04ejh*,BOS,1B,1B,Reed,Tyreque,,,
1174,Bligh Madris,676632,676632,20054,11500,*04ejw*,DET,OF,OF,Madris,Bligh,Madris,Bligh,Bligh Madris
1175,Max Lazar,676661,676661,23426,12146,*04el7*,PHI,RP,RP,Lazar,Max,Lazar,Max,Max Lazar
1176,JP Sears,676664,676664,23429,11401,*04eld*,SD,SP,SP,Sears,JP,Sears,JP,JP Sears
1177,Luis Vazquez,676679,676679,23442,11964,*04ens*,BAL,SS,SS,Vazquez,Luis,Vázquez,Luis,Luis Vázquez
1178,Tom Cosgrove,676680,676680,23443,11699,*04elu*,CHC,RP,RP,Cosgrove,Tom,Cosgrove,Tom,Tom Cosgrove
1179,Will Vest,676684,676684,19769,11186,*04em6*,DET,RP,RP,Vest,Will,Vest,Will,Will Vest
1180,Jake Meyers,676694,676694,20308,10999,*04emt*,HOU,OF,OF,Meyers,Jake,Meyers,Jake,Jake Meyers
1181,Alan Trejo,676701,676701,20056,11036,*04eoq*,TEX,SS,SS,Trejo,Alan,Trejo,Alan,Alan Trejo
1182,Hunter Stratton,676702,676702,23455,11857,*04eoy*,ATL,RP,RP,Stratton,Hunter,Stratton,Hunter,Hunter Stratton
1183,Kutter Crawford,676710,676710,20531,11283,*04ep8*,BOS,SP,SP,Crawford,Kutter,Crawford,Kutter,Kutter Crawford
1184,Brandon Hughes,676714,676714,23460,11471,*04eon*,CHC,RP,RP,Hughes,Brandon,Hughes,Brandon,Brandon Hughes
1185,Tommy Romero,676720,676720,23465,11316,*04eoc*,CHC,SP,SP,Romero,Tommy,Romero,Tommy,Tommy Romero
1186,Jared Young,676724,676724,20404,11573,*04eoj*,NYM,1B,1B,Young,Jared,Young,Jared,Jared Young
1187,Isaac Mattson,676755,676755,20385,10604,,PIT,RP,RP,Mattson,Isaac,Mattson,Isaac,Isaac Mattson
1188,Korry Howell,676759,676759,sa3008238,10407,*04era*,SD,OF,OF,Howell,Korry,Howell,Korry,
1189,Ron Marinaccio,676760,676760,23488,11392,*04erc*,SD,RP,RP,Marinaccio,Ron,Marinaccio,Ron,Ron Marinaccio
1190,Irving Lopez,676761,676761,20463,11877,,SL,2B,2B,Lopez,Irving,,,
1191,Keaton Winn,676775,676775,23499,11680,*04esc*,SF,RP,RP,Winn,Keaton,Winn,Keaton,Keaton Winn
1192,Chas McCormick,676801,676801,19599,10007,*04esz*,HOU,OF,OF,McCormick,Chas,McCormick,Chas,Chas McCormick
1193,Carson McCusker,676812,676812,33098,12398,*06cqb*,MIN,OF,OF,McCusker,Carson,McCusker,Carson,Carson McCusker
1194,Kodi Whitley,676831,676831,19731,10723,*059zn*,TB,RP,RP,Whitley,Kodi,Whitley,Kodi,Kodi Whitley
1195,Aaron Ashby,676879,676879,23550,10372,*04ew7*,MIL,SP,SP,Ashby,Aaron,Ashby,Aaron,Aaron Ashby
1196,Chandler Seagle,676882,676882,23552,11882,,ATL,C,C,Seagle,Chandler,Seagle,Chandler,Chandler Seagle
1197,Davis Schneider,676914,676914,23565,11838,*04o2x*,TOR,2B/OF,2B/OF,Schneider,Davis,Schneider,Davis,Davis Schneider
1198,Cade Cavalli,676917,676917,27473,10971,*05gef*,WSH,SP,SP,Cavalli,Cade,Cavalli,Cade,Cade Cavalli
1199,Matthew Batten,676946,676946,20157,10595,*052im*,ATL,SS,SS,Batten,Matthew,Batten,Matthew,Matthew Batten
1200,Caleb Boushley,676961,676961,19736,11880,*060hu*,TB,RP,RP,Boushley,Caleb,Boushley,Caleb,Caleb Boushley
1201,Ben Brown,676962,676962,23590,11935,*04o2w*,CHC,SP,SP,Brown,Ben,Brown,Ben,Ben Brown
1202,Brett de Geus,676969,676969,23592,11072,*0524m*,PHI,RP,RP,de Geus,Brett,de Geus,Brett,Brett de Geus
1203,Max Meyer,676974,676974,27474,10832,*05a2d*,MIA,SP,SP,Meyer,Max,Meyer,Max,Max Meyer
1204,Garrett Crochet,676979,676979,27463,10900,*05ajh*,BOS,SP,SP,Crochet,Garrett,Crochet,Garrett,Garrett Crochet
1205,Heston Kjerstad,677008,677008,31166,11771,*0596f*,BAL,OF,OF,Kjerstad,Heston,Kjerstad,Heston,Heston Kjerstad
1206,Josh Walker,677020,677020,23617,11793,*05u2x*,BAL,RP,RP,Walker,Josh,Walker,Josh,Josh Walker
1207,Andrew Nardi,677053,677053,25942,11536,*051c3*,MIA,RP,RP,Nardi,Andrew,Nardi,Andrew,Andrew Nardi
1208,Clayton Andrews,677076,677076,23631,10988,*04pzw*,SF,RP,RP,Andrews,Clayton,Andrews,Clayton,Clayton Andrews
1209,Zack Kelly,677161,677161,20349,11551,*05r1z*,BOS,RP,RP,Kelly,Zack,Kelly,Zack,Zack Kelly
1210,Kyren Paris,677347,677347,26420,11090,*050s0*,LAA,2B/OF,2B/OF,Paris,Kyren,Paris,Kyren,Kyren Paris
1211,Wander Franco,677551,677551,23667,10360,*04csx*,TB,SS,SS,Franco,Wander,Franco,Wander,Wander Franco
1212,Kristian Robinson,677565,677565,sa3006884,10267,*04g7l*,ARI,OF,OF,Robinson,Kristian,Robinson,Kristian,
1213,Aaron Bracho,677570,677570,sa3010018,10117,*04l97*,LAD,2B,2B,Bracho,Aaron,Bracho,Aaron,
1214,Brayan Rocchio,677587,677587,23690,10379,*04si3*,CLE,2B/SS,2B/SS,Rocchio,Brayan,Rocchio,Brayan,Brayan Rocchio
1215,Jose Tena,677588,677588,23691,11383,*04sxv*,WSH,3B,2B/3B,Tena,Jose,Tena,José,José Tena
1216,Everson Pereira,677592,677592,23695,10197,*04is5*,TB,OF,OF,Pereira,Everson,Pereira,Everson,Everson Pereira
1217,Julio Rodriguez,677594,677594,23697,10260,*04fhb*,SEA,OF,OF,Rodriguez,Julio,Rodríguez,Julio,Julio Rodríguez
1218,Ronny Mauricio,677595,677595,23698,10318,*04fyo*,NYM,2B/3B,2B/3B,Mauricio,Ronny,Mauricio,Ronny,Ronny Mauricio
1219,Eddy Diaz,677647,677647,sa3004979,10391,*04mtj*,COL,SS,SS,Diaz,Eddy,Diaz,Eddy,
1220,Ezequiel Duran,677649,677649,23733,11370,*04nqx*,TEX,1B/2B/ SS/3B/ OF,1B/2B/ SS/3B/ OF,Duran,Ezequiel,Duran,Ezequiel,Ezequiel Duran
1221,Luis Garcia,677651,677651,23735,11003,*04ni3*,HOU,SP,SP,Garcia,Luis,Garcia,Luis,Luis Garcia
1222,Wilyer Abreu,677800,677800,23772,11709,*060×1*,BOS,OF,OF,Abreu,Wilyer,Abreu,Wilyer,Wilyer Abreu
1223,Justin Bruihl,677865,677865,23779,11258,*05k3i*,TOR,RP,RP,Bruihl,Justin,Bruihl,Justin,Justin Bruihl
1224,Leo Jimenez,677870,677870,23782,11354,*04ni4*,TOR,SS,SS,Jimenez,Leo,Jiménez,Leo,Leo Jiménez
1225,Jordyn Adams,677941,677941,23788,10252,*04pkp*,BAL,OF,OF,Adams,Jordyn,,,
1226,Blaze Alexander,677942,677942,23789,10142,*04pvs*,ARI,2B/SS/ 3B,2B/SS/ 3B,Alexander,Blaze,Alexander,Blaze,Blaze Alexander
1227,Will Banfield,677943,677943,23790,10830,*04n1p*,CIN,C,C,Banfield,Will,Banfield,Will,Will Banfield
1228,Slade Cecconi,677944,677944,27500,11836,*04tk1*,CLE,SP,SP,Cecconi,Slade,Cecconi,Slade,Slade Cecconi
1229,Alek Thomas,677950,677950,23792,10126,*04pmw*,ARI,OF,OF,Thomas,Alek,Thomas,Alek,Alek Thomas
1230,Bobby Witt Jr.,677951,677951,25764,10932,*04lgp*,KC,SS,SS,Witt Jr.,Bobby,Witt Jr.,Bobby,Bobby Witt Jr.
1231,Braxton Ashcraft,677952,677952,23793,11999,*04pmq*,PIT,SP,SP,Ashcraft,Braxton,Ashcraft,Braxton,Braxton Ashcraft
1232,Jordan Groshans,677954,677954,23794,10250,*04n8x*,KC,3B,3B,Groshans,Jordan,Groshans,Jordan,Jordan Groshans
1233,Jaden Hill,677955,677955,30250,12048,*04w53*,COL,RP,RP,Hill,Jaden,Hill,Jaden,Jaden Hill
1234,Rece Hinds,677956,677956,27493,11113,*04nb4*,CIN,OF,OF,Hinds,Rece,Hinds,Rece,Rece Hinds
1235,Kumar Rocker,677958,677958,31843,12183,*04azu*,TEX,SP,SP,Rocker,Kumar,Rocker,Kumar,Kumar Rocker
1236,Ryan Weathers,677960,677960,23796,10325,*04mnw*,MIA,SP,SP,Weathers,Ryan,Weathers,Ryan,Ryan Weathers
1237,Cole Wilcox,677961,677961,27481,11097,*04n0o*,TB,RP,RP,Wilcox,Cole,Wilcox,Cole,Cole Wilcox
1238,Randy Dobnak,677976,677976,23798,10667,*0506h*,DET,RP,RP,Dobnak,Randy,Dobnak,Randy,Randy Dobnak
1239,Parker Meadows,678009,678009,23800,10307,*04pmn*,DET,OF,OF,Meadows,Parker,Meadows,Parker,Parker Meadows
1240,Nick Schnell,678010,678010,sa3007639,10300,*04pm9*,WSH,OF,OF,Schnell,Nick,Schnell,Nick,
1241,Anthony Seigler,678011,678011,23802,10136,*04pkq*,MIL,C,C,Seigler,Anthony,Seigler,Anthony,Anthony Seigler
1242,Seth Halvorsen,678020,678020,33294,12169,*06fqx*,COL,RP,RP,Halvorsen,Seth,Halvorsen,Seth,Seth Halvorsen
1243,Jack Perkins,678022,678022,31468,12345,*04pv8*,ATH,SP,SP,Perkins,Jack,Perkins,Jack,Jack Perkins
1244,Mike Vasil,678024,678024,30105,11904,*04ok0*,CHW,SP,SP,Vasil,Mike,Vasil,Mike,Mike Vasil
1245,Ray Kerr,678061,678061,23809,11334,*05r9n*,ATL,RP,RP,Kerr,Ray,Kerr,Ray,Ray Kerr
1246,Ji Hwan Bae,678225,678225,23818,10013,*04lcq*,PIT,SS,SS,Bae,Ji Hwan,Bae,Ji Hwan,Ji Hwan Bae
1247,Daysbel Hernandez,678226,678226,20271,11832,*051z5*,ATL,RP,RP,Hernandez,Daysbel,Hernández,Daysbel,Daysbel Hernández
1248,Miguel Vargas,678246,678246,20178,10417,*04ru7*,CHW,1B/3B/ OF,1B/3B/ OF,Vargas,Miguel,Vargas,Miguel,Miguel Vargas
1249,Omar Cruz,678316,678316,23875,12289,*04tf0*,SD,RP,RP,Cruz,Omar,Cruz,Omar,Omar Cruz
1250,Valente Bellozo,678368,678368,23899,12117,*052c7*,MIA,SP,SP,Bellozo,Valente,Bellozo,Valente,Valente Bellozo
1251,Jorbit Vivas,678391,678391,23917,11398,*05a1t*,NYY,2B,2B,Vivas,Jorbit,Vivas,Jorbit,Jorbit Vivas
1252,Brayan Bello,678394,678394,23920,11362,*04t40*,BOS,SP,SP,Bello,Brayan,Bello,Brayan,Brayan Bello
1253,Jorge Barrosa,678489,678489,23968,11665,*04mrb*,ARI,OF,OF,Barrosa,Jorge,Barrosa,Jorge,Jorge Barrosa
1254,Randy Rodriguez,678495,678495,23974,11393,*05w9g*,SF,RP,RP,Rodriguez,Randy,Rodríguez,Randy,Randy Rodríguez
1255,Osleivis Basabe,678545,678545,23985,11691,*04ni5*,SF,SS,SS,Basabe,Osleivis,Basabe,Osleivis,Osleivis Basabe
1256,Curtis Mead,678554,678554,23986,11606,*05ahe*,CHW,1B/2B/ 3B,1B/2B/ 3B,Mead,Curtis,Mead,Curtis,Curtis Mead
1257,Jose A. Ferrer,678606,678606,24017,11662,*062ob*,WSH,RP,RP,Ferrer,Jose A.,Ferrer,Jose A.,Jose A. Ferrer
1258,Ezequiel Tovar,678662,678662,24064,11346,*04mra*,COL,SS,SS,Tovar,Ezequiel,Tovar,Ezequiel,Ezequiel Tovar
1259,Ronny Henriquez,678692,678692,24094,11371,*04tzu*,MIA,RP,RP,Henriquez,Ronny,Henriquez,Ronny,Ronny Henriquez
1260,Eddys Leonard,678760,678760,sa3005554,11397,*04yi5*,ATL,SS,SS,Leonard,Eddys,Leonard,Eddys,
1261,Luis Peralta,678821,678821,24203,12163,*060×5*,COL,RP,RP,Peralta,Luis,Peralta,Luis,Luis Peralta
1262,Jhonkensy Noel,678877,678877,24257,11382,*04yrs*,CLE,OF,OF,Noel,Jhonkensy,Noel,Jhonkensy,Jhonkensy Noel
1263,Ceddanne Rafaela,678882,678882,24262,11628,*05gsi*,BOS,2B/SS/ OF,2B/SS/ OF,Rafaela,Ceddanne,Rafaela,Ceddanne,Ceddanne Rafaela
1264,Liover Peguero,678894,678894,24273,11096,*04ol2*,PIT,SS,SS,Peguero,Liover,Peguero,Liover,Liover Peguero
1265,Kai-Wei Teng,678906,678906,24282,11988,*04zay*,SF,SP,SP,Teng,Kai-Wei,Teng,Kai-Wei,Kai-Wei Teng
1266,Johan Rojas,679032,679032,24336,11643,*04w4e*,PHI,OF,OF,Rojas,Johan,Rojas,Johan,Johan Rojas
